codigo,alvo,evento,particao,h,motor,regime,n,mae_cm,vies_cm,cobertura_pareada
86510000,Muçum,ev20230920,selecao,12,gbm_delta,alto,135,39.2497640074922,-4.610421967116813,1.0
86510000,Muçum,ev20230920,selecao,12,gbm_delta,subida,49,53.21327294227515,-4.298633004386568,1.0
86510000,Muçum,ev20230920,selecao,12,persistencia,todos,148,79.39864864864865,-11.966216216216216,1.0
86510000,Muçum,ev20230920,selecao,12,persistencia,alto,135,86.38518518518518,-13.25925925925926,1.0
86510000,Muçum,ev20230920,selecao,12,persistencia,subida,49,82.65306122448979,-55.46938775510204,1.0
86510000,Muçum,ev20231005,selecao,6,linear,todos,38,5.16392193824293,-5.1084615887596785,0.0727969348659003
86510000,Muçum,ev20231005,selecao,6,linear,alto,0,,,0.0727969348659003
86510000,Muçum,ev20231005,selecao,6,linear,subida,0,,,0.0727969348659003
86510000,Muçum,ev20231005,selecao,6,gbm_nivel,todos,38,12.24293520491852,-12.24293520491852,0.0727969348659003
86510000,Muçum,ev20231005,selecao,6,gbm_nivel,alto,0,,,0.0727969348659003
86510000,Muçum,ev20231005,selecao,6,gbm_nivel,subida,0,,,0.0727969348659003
86510000,Muçum,ev20231005,selecao,6,gbm_delta,todos,38,3.797095410621088,-2.596743444231051,0.0727969348659003
86510000,Muçum,ev20231005,selecao,6,gbm_delta,alto,0,,,0.0727969348659003
86510000,Muçum,ev20231005,selecao,6,gbm_delta,subida,0,,,0.0727969348659003
86510000,Muçum,ev20231005,selecao,6,persistencia,todos,38,6.7894736842105265,6.631578947368421,0.0727969348659003
86510000,Muçum,ev20231005,selecao,6,persistencia,alto,0,,,0.0727969348659003
86510000,Muçum,ev20231005,selecao,6,persistencia,subida,0,,,0.0727969348659003
86510000,Muçum,ev20231005,selecao,9,linear,todos,38,4.584502430731428,-3.895652811226349,0.0723809523809523
86510000,Muçum,ev20231005,selecao,9,linear,alto,0,,,0.0723809523809523
86510000,Muçum,ev20231005,selecao,9,linear,subida,0,,,0.0723809523809523
86510000,Muçum,ev20231005,selecao,9,gbm_nivel,todos,38,20.733083510945335,-20.733083510945335,0.0723809523809523
86510000,Muçum,ev20231005,selecao,9,gbm_nivel,alto,0,,,0.0723809523809523
86510000,Muçum,ev20231005,selecao,9,gbm_nivel,subida,0,,,0.0723809523809523
86510000,Muçum,ev20231005,selecao,9,gbm_delta,todos,38,4.555821139473054,-1.311825170524335,0.0723809523809523
86510000,Muçum,ev20231005,selecao,9,gbm_delta,alto,0,,,0.0723809523809523
86510000,Muçum,ev20231005,selecao,9,gbm_delta,subida,0,,,0.0723809523809523
86510000,Muçum,ev20231005,selecao,9,persistencia,todos,38,10.078947368421051,10.078947368421051,0.0723809523809523
86510000,Muçum,ev20231005,selecao,9,persistencia,alto,0,,,0.0723809523809523
86510000,Muçum,ev20231005,selecao,9,persistencia,subida,0,,,0.0723809523809523
86510000,Muçum,ev20231005,selecao,12,linear,todos,38,4.168496900635145,-1.1251196420139122,0.0719696969696969
86510000,Muçum,ev20231005,selecao,12,linear,alto,0,,,0.0719696969696969
86510000,Muçum,ev20231005,selecao,12,linear,subida,0,,,0.0719696969696969
86510000,Muçum,ev20231005,selecao,12,gbm_nivel,todos,38,20.34277576982058,-20.34277576982058,0.0719696969696969
86510000,Muçum,ev20231005,selecao,12,gbm_nivel,alto,0,,,0.0719696969696969
86510000,Muçum,ev20231005,selecao,12,gbm_nivel,subida,0,,,0.0719696969696969
86510000,Muçum,ev20231005,selecao,12,gbm_delta,todos,38,5.636313615769826,-1.949839288887103,0.0719696969696969
86510000,Muçum,ev20231005,selecao,12,gbm_delta,alto,0,,,0.0719696969696969
86510000,Muçum,ev20231005,selecao,12,gbm_delta,subida,0,,,0.0719696969696969
86510000,Muçum,ev20231005,selecao,12,persistencia,todos,38,13.526315789473683,13.526315789473683,0.0719696969696969
86510000,Muçum,ev20231005,selecao,12,persistencia,alto,0,,,0.0719696969696969
86510000,Muçum,ev20231005,selecao,12,persistencia,subida,0,,,0.0719696969696969
86510000,Muçum,ev20231103,selecao,6,linear,todos,291,13.970829117759282,-7.749932269353769,0.9603960396039604
86510000,Muçum,ev20231103,selecao,6,linear,alto,65,17.657485708693674,-14.042617457925758,0.9603960396039604
86510000,Muçum,ev20231103,selecao,6,linear,subida,22,35.872956932762484,-34.266430855691304,0.9603960396039604
86510000,Muçum,ev20231103,selecao,6,gbm_nivel,todos,291,18.029806232116368,-15.825524966959549,0.9603960396039604
86510000,Muçum,ev20231103,selecao,6,gbm_nivel,alto,65,32.64048967179533,-31.76543969020348,0.9603960396039604
86510000,Muçum,ev20231103,selecao,6,gbm_nivel,subida,22,44.44014698454925,-43.76100139322377,0.9603960396039604
