codigo,alvo,evento,particao,h,motor,ajuste,n,mae_cm,vies_cm,max_erro_cm,regime
86510000,Muçum,ev20230904,desenvolvimento,6,gbm_delta,integral_12h,176,32.26654048502224,-21.866548758065274,530.4075544960656,todos
86510000,Muçum,ev20230904,desenvolvimento,6,gbm_delta,integral_6h,176,32.42243945064941,-19.945378795501234,479.431216678086,todos
86510000,Muçum,ev20230904,desenvolvimento,6,gbm_delta,meio_12h,176,33.99771427964495,-22.577450392991395,572.6367756800853,todos
86510000,Muçum,ev20230904,desenvolvimento,6,gbm_delta,meio_6h,176,33.650224636429314,-21.616865411709373,547.1486067710955,todos
86510000,Muçum,ev20230904,desenvolvimento,6,gbm_delta,original,176,36.655724592986694,-23.28835202791752,614.865996864105,todos
86510000,Muçum,ev20230904,desenvolvimento,6,gbm_postos,integral_12h,176,30.530258116516254,-18.10240892734307,498.42270549138175,todos
86510000,Muçum,ev20230904,desenvolvimento,6,gbm_postos,integral_6h,176,30.955844828487184,-16.75513915441538,474.98713349027594,todos
86510000,Muçum,ev20230904,desenvolvimento,6,gbm_postos,meio_12h,176,31.026362603613496,-18.077685959062975,530.6887179529595,todos
86510000,Muçum,ev20230904,desenvolvimento,6,gbm_postos,meio_6h,176,30.988946139573674,-17.404051072599135,518.9709319524065,todos
86510000,Muçum,ev20230904,desenvolvimento,6,gbm_postos,original,176,32.18284922064476,-18.052962990782877,562.9547304145372,todos
86510000,Muçum,ev20230904,desenvolvimento,6,ridge_montante,integral_12h,176,53.218674400531114,-21.60836160292853,570.1644715763639,todos
86510000,Muçum,ev20230904,desenvolvimento,6,ridge_montante,integral_6h,176,57.60660544955578,-18.969143439599282,519.3513321539365,todos
86510000,Muçum,ev20230904,desenvolvimento,6,ridge_montante,meio_12h,176,51.96430992739174,-21.694844509584865,607.7657363891258,todos
86510000,Muçum,ev20230904,desenvolvimento,6,ridge_montante,meio_6h,176,53.39797062562932,-20.37523542792024,577.8550830391412,todos
86510000,Muçum,ev20230904,desenvolvimento,6,ridge_montante,original,176,52.313812096545284,-21.781327416241194,645.3670012018874,todos
86510000,Muçum,ev20230904,desenvolvimento,9,gbm_delta,integral_12h,173,49.450556690439086,-37.59685472615639,773.337817115008,todos
86510000,Muçum,ev20230904,desenvolvimento,9,gbm_delta,integral_6h,173,48.2112772856531,-35.82661406203541,730.8239174473955,todos
86510000,Muçum,ev20230904,desenvolvimento,9,gbm_delta,meio_12h,173,51.66190289009492,-38.250700859187894,825.2397348386919,todos
86510000,Muçum,ev20230904,desenvolvimento,9,gbm_delta,meio_6h,173,50.86422124331529,-37.365580527127406,790.769089344672,todos
86510000,Muçum,ev20230904,desenvolvimento,9,gbm_delta,original,173,54.76645873229477,-38.9045469922194,877.1416525623758,todos
86510000,Muçum,ev20230904,desenvolvimento,9,gbm_postos,integral_12h,173,40.50746401921999,-29.53207780948926,682.8282249671663,todos
86510000,Muçum,ev20230904,desenvolvimento,9,gbm_postos,integral_6h,173,39.88985745339562,-27.93311583450655,650.6803580909134,todos
86510000,Muçum,ev20230904,desenvolvimento,9,gbm_postos,meio_12h,173,41.95734703884242,-29.48763338175366,724.4288252384954,todos
86510000,Muçum,ev20230904,desenvolvimento,9,gbm_postos,meio_6h,173,41.2878558644967,-28.688152394262307,708.3548918003689,todos
86510000,Muçum,ev20230904,desenvolvimento,9,gbm_postos,original,173,44.52483454982709,-29.443188954018066,766.0294255098245,todos
86510000,Muçum,ev20230904,desenvolvimento,9,ridge_montante,integral_12h,173,73.70606475448601,-43.60025354936969,953.0987492032488,todos
86510000,Muçum,ev20230904,desenvolvimento,9,ridge_montante,integral_6h,173,76.70631382084058,-41.80907734943178,930.4040858706556,todos
86510000,Muçum,ev20230904,desenvolvimento,9,ridge_montante,meio_12h,173,74.55248585927392,-42.040767852073266,988.3216933295007,todos
86510000,Muçum,ev20230904,desenvolvimento,9,ridge_montante,meio_6h,173,75.41426951830826,-41.14517975210431,976.9743616632041,todos
86510000,Muçum,ev20230904,desenvolvimento,9,ridge_montante,original,173,76.60927788833737,-40.48128215477685,1023.5446374557525,todos
86510000,Muçum,ev20230904,desenvolvimento,12,gbm_delta,integral_12h,170,66.67071462025017,-50.0247783136165,1181.1835316032489,todos
86510000,Muçum,ev20230904,desenvolvimento,12,gbm_delta,integral_6h,170,66.83298205320072,-48.70369818729538,1210.4457965509177,todos
86510000,Muçum,ev20230904,desenvolvimento,12,gbm_delta,meio_12h,170,68.26184172222158,-50.955161912080854,1219.2817840995567,todos
86510000,Muçum,ev20230904,desenvolvimento,12,gbm_delta,meio_6h,170,68.25429190401852,-50.29462184892029,1233.9129165733912,todos
86510000,Muçum,ev20230904,desenvolvimento,12,gbm_delta,original,170,71.07786533696327,-51.885545510545214,1257.3800365958643,todos
86510000,Muçum,ev20230904,desenvolvimento,12,gbm_postos,integral_12h,170,57.800548874441645,-42.95680014996175,1004.7304263863641,todos
86510000,Muçum,ev20230904,desenvolvimento,12,gbm_postos,integral_6h,170,57.33070097578127,-41.652821701026554,968.1417362814049,todos
86510000,Muçum,ev20230904,desenvolvimento,12,gbm_postos,meio_12h,170,58.52647820703395,-43.189545190205266,1025.183874653329,todos
